Date,Time,CPU (%),RAM (%)
2025-04-28,17:02:47,0.0,7.2
2025-04-28,17:03:06,0.0,7.2
2025-04-28,17:04:06,0.4,7.2
2025-04-28,17:05:06,0.7,7.0
2025-04-28,17:06:06,0.5,6.9
2025-04-28,17:07:06,0.1,6.9
2025-04-28,17:08:06,0.4,7.0
2025-04-28,17:09:06,0.4,6.9
2025-04-28,17:10:06,0.3,7.0
2025-04-28,17:11:06,0.1,6.9
2025-04-28,17:12:06,0.1,6.9
2025-04-28,17:13:06,0.2,7.0
2025-04-28,17:14:06,0.1,6.9
2025-04-28,17:28:53,0.0,7.1
2025-04-28,17:29:03,0.1,7.1
2025-04-28,17:29:13,0.2,7.1
2025-04-28,17:29:23,2.4,7.5
2025-04-28,17:29:33,1.8,7.2
2025-04-28,17:29:43,0.2,7.2
2025-04-28,17:29:53,0.1,7.1
2025-04-28,17:30:03,0.2,7.1
2025-04-28,17:30:13,0.1,7.1
2025-04-28,17:30:23,0.2,7.1
2025-04-28,17:30:33,0.2,7.1
2025-04-28,17:30:43,0.1,7.1
2025-04-28,17:30:53,0.2,7.1
2025-04-28,17:31:03,0.1,7.1
2025-04-28,17:31:13,0.2,7.1
2025-04-28,17:31:23,0.2,7.1
2025-04-28,17:31:33,0.1,7.1
2025-04-28,17:31:43,0.2,7.1
2025-04-28,17:31:53,0.2,7.1
2025-04-28,17:32:03,0.1,7.1
2025-04-28,17:32:13,0.2,7.1
2025-04-28,17:32:23,0.1,7.1
2025-04-28,17:32:33,0.2,7.1
2025-04-28,17:32:43,0.2,7.1
2025-04-28,17:32:53,0.1,7.1
2025-04-28,17:33:03,0.2,7.1
2025-04-28,17:33:13,0.1,7.1
2025-04-28,17:33:23,0.2,7.1
2025-04-28,17:33:33,0.2,7.1
2025-04-28,17:33:43,0.1,7.1
2025-04-28,17:33:53,0.2,7.1
2025-04-28,17:34:03,0.1,7.1
2025-04-28,17:34:13,0.2,7.1
2025-04-28,17:34:23,0.2,7.1
2025-04-28,17:34:33,0.1,7.1
2025-04-28,17:34:43,0.2,7.1
2025-04-28,17:34:53,0.2,7.1
2025-04-28,17:35:03,0.1,7.1
2025-04-28,17:35:13,0.2,7.1
2025-04-28,17:35:23,0.1,7.1
2025-04-28,17:35:33,0.2,7.1
2025-04-28,17:35:43,0.2,7.1
2025-04-28,17:35:53,0.1,7.1
2025-04-28,17:36:03,0.2,7.1
2025-04-28,17:36:13,0.1,7.1
2025-04-28,17:36:23,0.2,7.1
2025-04-28,17:36:33,0.2,7.1
2025-04-28,17:36:43,0.1,7.1
2025-04-28,17:36:53,0.2,7.1
2025-04-28,17:37:03,0.1,7.1
2025-04-28,17:37:13,0.2,7.1
2025-04-28,17:37:23,0.2,7.1
2025-04-28,17:37:33,0.1,7.1
2025-04-28,17:37:43,0.2,7.1
2025-04-28,17:37:53,0.1,7.1
2025-04-28,17:38:03,0.2,7.1
2025-04-28,17:38:13,0.2,7.1
2025-04-28,17:38:23,0.2,7.1
2025-04-28,17:38:33,0.1,7.1
2025-04-28,17:38:43,0.2,7.1
2025-04-28,17:38:53,0.1,7.1
2025-04-28,17:39:03,0.2,7.1
2025-04-28,17:39:13,0.1,7.1
2025-04-28,17:39:23,0.2,7.1
2025-04-28,17:39:33,0.2,7.1
2025-04-28,17:39:43,0.1,7.1
2025-04-28,17:39:53,0.2,7.1
2025-04-28,17:40:03,0.1,7.1
2025-04-28,17:40:13,0.2,7.1
2025-04-28,17:40:23,0.2,7.1
2025-04-28,17:40:33,0.1,7.1
2025-04-28,17:40:43,0.2,7.1
2025-04-28,17:40:53,0.1,7.1
2025-04-28,17:41:03,0.2,7.1
2025-04-28,17:41:13,0.2,7.1
2025-04-28,17:41:23,1.6,7.1
2025-04-28,17:41:33,0.2,7.1
2025-04-28,17:41:43,0.3,7.3
2025-04-28,17:41:53,0.1,7.3
2025-04-28,17:42:03,0.1,7.2
2025-04-28,17:42:13,0.1,7.2
2025-04-28,17:42:23,0.2,7.2
2025-04-28,17:42:33,0.2,7.2
2025-04-28,17:42:43,0.1,7.2
2025-04-28,17:42:53,0.1,7.2
2025-04-28,17:43:03,0.1,7.2
2025-04-28,17:43:13,0.2,7.2
2025-04-28,17:43:23,0.1,7.2
2025-04-28,17:43:33,0.0,7.2
2025-04-28,17:43:43,0.1,7.2
2025-04-28,17:43:53,0.0,7.2
2025-04-28,17:44:03,0.1,7.2
2025-04-28,17:44:13,0.2,7.2
2025-04-28,17:44:23,0.1,7.2
2025-04-28,17:44:33,0.1,7.2
2025-04-28,17:44:43,0.0,7.2
2025-04-28,17:44:53,0.2,7.2
2025-04-28,17:45:03,0.2,7.2
2025-04-28,17:45:13,0.1,7.2
2025-04-28,17:45:23,0.2,7.2
2025-04-28,17:45:33,0.1,7.2
2025-04-28,17:45:43,0.1,7.2
2025-04-28,17:45:53,0.2,7.2
2025-04-28,17:46:03,0.0,7.2
2025-04-28,17:46:13,0.1,7.2
2025-04-28,17:46:23,0.2,7.2
2025-04-28,17:46:33,0.1,7.2
2025-04-28,17:46:43,0.1,7.2
2025-04-28,17:46:53,0.0,7.2
2025-04-28,17:47:03,0.2,7.2
2025-04-28,17:47:13,0.2,7.2
2025-04-28,17:47:23,0.1,7.2
2025-04-28,17:47:33,0.2,7.2
2025-04-28,17:47:43,0.1,7.2
2025-04-28,17:47:53,0.1,7.2
2025-04-28,17:48:03,0.2,7.2
2025-04-28,17:48:13,0.0,7.2
2025-04-28,17:48:23,0.2,7.2
2025-04-28,17:48:33,0.0,7.2
2025-04-28,17:48:43,0.1,7.2
2025-04-28,17:48:53,0.2,7.2
2025-04-28,17:49:03,0.0,7.2
2025-04-28,17:49:13,0.2,7.2
2025-04-28,17:49:23,0.2,7.2
2025-04-28,17:49:33,0.1,7.2
2025-04-28,17:49:43,0.1,7.2
2025-04-28,17:49:53,0.0,7.2
2025-04-28,17:50:03,0.2,7.2
2025-04-28,17:50:13,0.1,7.2
2025-04-28,17:50:23,0.1,7.2
2025-04-28,17:50:33,0.2,7.2
2025-04-28,17:50:43,0.0,7.2
2025-04-28,17:50:53,0.1,7.2
2025-04-28,17:51:03,0.2,7.2
2025-04-28,17:51:13,0.1,7.2
2025-04-28,17:51:23,0.2,7.2
2025-04-28,17:51:33,0.1,7.2
2025-04-28,17:51:43,0.1,7.2
2025-04-28,17:51:53,0.1,7.2
2025-04-28,17:52:03,0.0,7.2
2025-04-28,17:52:13,0.2,7.2
2025-04-28,17:52:23,0.1,7.2
2025-04-28,17:52:33,0.2,7.2
2025-04-28,17:52:43,0.1,7.2
2025-04-28,17:52:53,0.0,7.2
2025-04-28,17:53:03,0.2,7.2
2025-04-28,17:53:13,0.1,7.2
2025-04-28,17:53:23,0.1,7.2
2025-04-28,17:53:33,0.2,7.2
2025-04-28,17:53:43,0.1,7.2
2025-04-28,17:53:53,0.2,7.2
2025-04-28,17:54:03,0.2,7.2
2025-04-28,17:54:13,0.0,7.2
2025-04-28,17:54:23,0.2,7.2
2025-04-28,17:54:33,0.1,7.2
2025-04-28,17:54:43,0.2,7.2
2025-04-28,17:54:53,0.2,7.2
2025-04-28,17:55:03,0.0,7.2
2025-04-28,17:55:13,1.0,7.2
2025-04-28,17:55:23,0.1,7.2
2025-04-28,17:55:33,1.6,7.4
2025-04-28,17:55:43,0.6,7.3
2025-04-28,17:55:53,0.0,7.3
2025-04-28,17:56:03,0.2,7.3
2025-04-28,17:56:13,0.1,7.2
2025-04-28,17:56:23,0.2,7.2
2025-04-28,17:56:33,0.2,7.2
2025-04-28,17:56:43,0.1,7.2
2025-04-28,17:56:53,0.2,7.2
2025-04-28,17:57:03,0.1,7.2
2025-04-28,17:57:13,0.1,7.2
2025-04-28,17:57:23,0.2,7.2
2025-04-28,17:57:33,0.0,7.2
2025-04-28,17:57:43,0.2,7.2
2025-04-28,17:57:53,0.1,7.2
2025-04-28,17:58:03,0.0,7.2
2025-04-28,17:58:13,0.2,7.2
2025-04-28,17:58:23,0.1,7.2
2025-04-28,17:58:33,0.2,7.2
2025-04-28,17:58:43,0.2,7.2
2025-04-28,17:58:53,0.1,7.2
2025-04-28,17:59:03,0.2,7.2
2025-04-28,17:59:13,0.0,7.2
2025-04-28,17:59:23,0.2,7.2
2025-04-28,17:59:33,0.2,7.2
2025-04-28,17:59:43,0.1,7.2
2025-04-28,17:59:53,0.1,7.2
2025-04-28,18:00:03,0.1,7.2
2025-04-28,18:00:13,0.1,7.2
2025-04-28,18:00:23,0.2,7.2
2025-04-28,18:00:33,0.0,7.2
2025-04-28,18:00:43,0.2,7.2
2025-04-28,18:00:53,0.2,7.2
2025-04-28,18:01:03,0.1,7.2
2025-04-28,18:01:13,0.2,7.2
2025-04-28,18:01:23,0.1,7.2
2025-04-28,18:01:33,0.1,7.2
2025-04-28,18:01:43,0.1,7.2
2025-04-28,18:01:53,0.1,7.2
2025-04-28,18:02:03,0.2,7.2
2025-04-28,18:02:13,0.0,7.2
2025-04-28,18:02:23,0.2,7.2
2025-04-28,18:02:33,0.2,7.2
2025-04-28,18:02:43,0.0,7.2
2025-04-28,18:02:53,0.2,7.2
2025-04-28,18:03:03,0.1,7.2
2025-04-28,18:03:13,0.1,7.2
2025-04-28,18:03:23,0.2,7.2
2025-04-28,18:03:33,0.1,7.2
2025-04-28,18:03:43,0.2,7.2
2025-04-28,18:03:53,0.1,7.2
2025-04-28,18:04:03,0.0,7.2
2025-04-28,18:04:13,0.1,7.2
2025-04-28,18:04:23,0.1,7.2
2025-04-28,18:04:33,0.2,7.2
2025-04-28,18:04:43,0.2,7.2
2025-04-28,18:04:53,0.1,7.2
2025-04-28,18:05:03,0.2,7.2
2025-04-28,18:05:13,0.0,7.2
2025-04-28,18:05:23,0.2,7.2
2025-04-28,18:05:33,0.2,7.2
2025-04-28,18:05:43,0.1,7.2
2025-04-28,18:05:53,0.2,7.2
2025-04-28,18:06:03,0.1,7.2
2025-04-28,18:06:13,0.2,7.2
2025-04-28,18:06:23,0.2,7.2
2025-04-28,18:06:33,0.0,7.2
2025-04-28,18:06:43,0.2,7.2
2025-04-28,18:06:53,0.0,7.2
2025-04-28,18:07:03,0.2,7.2
2025-04-28,18:07:13,0.2,7.2
2025-04-28,18:07:23,0.1,7.2
2025-04-28,18:07:33,0.2,7.2
2025-04-28,18:07:43,0.1,7.2
2025-04-28,18:07:53,0.1,7.2
2025-04-28,18:08:03,0.2,7.2
2025-04-28,18:08:13,0.1,7.2
2025-04-28,18:08:23,0.2,7.2
2025-04-28,18:08:33,0.2,7.2
2025-04-28,18:08:43,0.1,7.2
2025-04-28,18:08:53,0.1,7.2
2025-04-28,18:09:03,0.1,7.2
2025-04-28,18:09:13,0.2,7.2
2025-04-28,18:09:23,0.2,7.2
2025-04-28,18:09:33,0.1,7.2
2025-04-28,18:09:43,0.1,7.2
2025-04-28,18:09:53,0.1,7.2
2025-04-28,18:10:03,0.2,7.2
2025-04-28,18:10:13,0.1,7.2
2025-04-28,18:10:23,0.1,7.2
2025-04-28,18:10:33,0.2,7.2
2025-04-28,18:10:43,0.1,7.2
2025-04-28,18:10:53,0.2,7.2
2025-04-28,18:11:03,0.6,7.2
2025-04-28,18:11:13,0.2,7.2
2025-04-28,18:11:23,0.2,7.2
2025-04-28,18:11:33,0.1,7.2
2025-04-28,18:11:43,0.0,7.2
2025-04-28,18:11:53,0.2,7.2
2025-04-28,18:12:03,0.1,7.2
2025-04-28,18:12:13,0.2,7.2
2025-04-28,18:12:23,0.2,7.2
2025-04-28,18:12:33,0.1,7.2
2025-04-28,18:12:43,0.1,7.2
2025-04-28,18:12:53,0.0,7.2
2025-04-28,18:13:03,0.2,7.2
2025-04-28,18:13:13,0.2,7.2
2025-04-28,18:13:23,0.1,7.2
2025-04-28,18:13:33,0.2,7.2
